Cancer Site,Year,Sex,Age,Incidence and Survival Assumptions,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost
Head_Neck,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3649.3,1006.5,1051.8,1591
Head_Neck,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3853.8,1089.5,1051.8,1712.6
Head_Neck,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4184,1223.4,1051.8,1908.8
Kidney,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4306.9,1230.8,1829.7,1246.4
Kidney,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4723.1,1473.1,1922.3,1327.7
Kidney,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4367.3,1230.8,1865.6,1270.9
Kidney,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4791.5,1473.1,1963,1355.4
Kidney,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4996.9,1594.5,1963,1439.4
Kidney,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5328.5,1790.5,1963,1575
Leukemia,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6022.3,845.7,2350.7,2826
Leukemia,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5837.8,800.5,2293,2744.4
Leukemia,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,6126.7,845.7,2397.1,2884
Leukemia,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5937.3,800.5,2337.2,2799.6
Leukemia,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6211,866.4,2337.2,3007.4
Leukemia,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6652.9,973,2337.2,3342.7
Lung,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13131.1,5697.4,1997.8,5435.9
Lung,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11696.3,4861.9,1892.6,4941.7
Lung,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,13336.4,5697.4,2057.6,5581.4
Lung,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,11873.9,4861.9,1944.8,5067.3
Lung,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,12663.8,5262.7,1944.8,5456.4
Lung,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,13938.9,5909.6,1944.8,6084.5
Lymphoma,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13375.1,3372.5,5418.7,4583.9
Lymphoma,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13249.6,3300.6,5393.9,4555.1
Lymphoma,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,13526.3,3372.5,5496.9,4656.9
Lymphoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,13398.8,3300.6,5471.1,4627.1
Lymphoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14004.9,3572.6,5471.1,4961.2
Lymphoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,14983.4,4011.9,5471.1,5500.4
Melanoma,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2687.7,524,1799.9,363.7
Melanoma,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2936.7,654.8,1885.9,396
Melanoma,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2694,524,1805,364.9
Melanoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2943.9,654.8,1891.7,397.4
Melanoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3028.6,708.8,1891.7,428.1
Melanoma,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3165.4,796,1891.7,477.8
Ovary,2014,Females,All ages,"Incidence, Survival at constant rate",0%,5502.4,1458.6,1782.2,2261.7
Ovary,2014,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4672.2,952.9,1668.1,2051.2
Ovary,2014,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5586.2,1458.6,1815.5,2312.1
Ovary,2014,Females,All ages,"Incidence, Survival follow recent trends",0%,4735.9,952.9,1693.6,2089.4
Ovary,2014,Females,All ages,"Incidence, Survival follow recent trends",2%,4979.5,1031.5,1693.6,2254.4
Ovary,2014,Females,All ages,"Incidence, Survival follow recent trends",5%,5372.8,1158.3,1693.6,2520.9
Pancreas,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2493.4,1550.8,121.9,820.6
Pancreas,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2473.5,1537.1,121.4,815
Pancreas,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2630.6,1550.8,152.1,927.7
Pancreas,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2609.7,1537.1,151.4,921.2
Pancreas,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2808.5,1663.8,151.4,993.4
Pancreas,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3129.5,1868.3,151.4,1109.8
Prostate,2014,Males,All ages,"Incidence, Survival at constant rate",0%,13426.1,5077.9,7103.8,1244.4
Prostate,2014,Males,All ages,"Incidence follows recent trend, Survival constant",0%,12991.5,4779.5,6985.1,1227
Prostate,2014,Males,All ages,"Survival follows recent trend, Incidence constant",0%,13453,5077.9,7126.9,1248.2
Prostate,2014,Males,All ages,"Incidence, Survival follow recent trends",0%,13017.6,4779.5,7007.5,1230.7
Prostate,2014,Males,All ages,"Incidence, Survival follow recent trends",2%,13433.7,5173.5,7007.5,1252.8
Prostate,2014,Males,All ages,"Incidence, Survival follow recent trends",5%,14105.4,5809.5,7007.5,1288.4
Stomach,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1977.9,901.1,251.4,825.3
Stomach,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1737.9,750.2,237.9,749.9
Stomach,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2032.1,901.1,263.8,867.2
Stomach,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1785.4,750.2,248.8,786.4
Stomach,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1904.6,812,248.8,843.8
Stomach,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2096.9,911.9,248.8,936.3
Uterus,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2764.7,1147.3,824.1,793.3
Uterus,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2640,1061.9,805.2,772.9
Uterus,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2762.8,1147.3,822.4,793
Uterus,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2638.3,1061.9,803.7,772.7
Uterus,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2780.1,1149.4,803.7,827
Uterus,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3009.2,1290.7,803.7,914.7
Other,2014,Both sexes,All ages,"Incidence, Survival at constant rate",0%,22192.6,4204.3,12236.2,5752.1
Other,2014,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,23488.6,4490.7,12487.9,6510
Other,2014,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,23539.4,4204.3,13377.3,5957.7
Other,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,24893,4490.7,13604.2,6798.2
Other,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,25651.2,4860.8,13604.2,7186.2
Other,2014,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,26875.1,5458.4,13604.2,7812.5
AllSites,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,140578.3,44239.9,53838.4,42500.1
AllSites,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,135076.8,40395,53028.3,41653.6
AllSites,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,143883.6,44239.9,55879.3,43764.4
AllSites,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,138257.5,40395,54994.3,42868.2
AllSites,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,146194,44599.3,54994.3,46600.4
AllSites,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,159324.8,51555.4,54994.3,52775.2
Bladder,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4363.2,1083.4,2070.1,1209.7
Bladder,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4121.6,965.8,1995,1160.9
Bladder,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4394.2,1083.4,2089.7,1221.2
Bladder,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4150.5,965.8,2013.2,1171.6
Bladder,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4342.4,1066.3,2013.2,1262.9
Bladder,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4659.9,1232.6,2013.2,1414.1
Brain,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5002,1357.5,1210.6,2433.9
Brain,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4914.8,1304.9,1203.1,2406.8
Brain,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5117.9,1357.5,1242.1,2518.3
Brain,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5027.8,1304.9,1233.8,2489
Brain,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5410.6,1440.7,1233.8,2736
Brain,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6044.1,1665.5,1233.8,3144.8
Breast,2015,Females,All ages,"Incidence, Survival at constant rate",0%,18505.1,6460.6,7819.5,4225
Breast,2015,Females,All ages,"Incidence follows recent trend, Survival constant",0%,17471.7,5854.7,7554.7,4062.4
Breast,2015,Females,All ages,"Survival follows recent trend, Incidence constant",0%,18576.5,6460.6,7865.7,4250.2
Breast,2015,Females,All ages,"Incidence, Survival follow recent trends",0%,17538.3,5854.7,7597.7,4085.9
Breast,2015,Females,All ages,"Incidence, Survival follow recent trends",2%,18561.8,6464.1,7597.7,4500
Breast,2015,Females,All ages,"Incidence, Survival follow recent trends",5%,20255.1,7472.2,7597.7,5185.1
Cervix,2015,Females,All ages,"Incidence, Survival at constant rate",0%,1544.3,496.4,363.1,684.8
Cervix,2015,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1302.9,336.6,340.3,626.1
Cervix,2015,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1545.8,496.4,363.4,685.9
Cervix,2015,Females,All ages,"Incidence, Survival follow recent trends",0%,1304.1,336.6,340.5,626.9
Cervix,2015,Females,All ages,"Incidence, Survival follow recent trends",2%,1398.7,371.6,340.5,686.5
Cervix,2015,Females,All ages,"Incidence, Survival follow recent trends",5%,1555.3,429.6,340.5,785.1
Colorectal,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,15584.2,6517.5,4340.5,4726.2
Colorectal,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13767.8,5352.7,4075.4,4339.7
Colorectal,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,15770.9,6517.5,4429.2,4824.2
Colorectal,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,13930.6,5352.7,4153,4425
Colorectal,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14839.7,5909.8,4153,4777
Colorectal,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,16343.9,6831.5,4153,5359.4
Esophagus,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1547.5,643.5,182.5,721.6
Esophagus,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1513.6,624.6,180,708.9
Esophagus,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1677.3,643.5,211.9,821.9
Esophagus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1641,624.6,208.9,807.5
Esophagus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1781.3,689.6,208.9,882.8
Esophagus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2013.4,797.2,208.9,1007.3
Head_Neck,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3966.9,1181.1,1100.3,1685.5
Head_Neck,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3658.3,1008,1056,1594.3
Head_Neck,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3989.6,1181.1,1109.4,1699.1
Head_Neck,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3679,1008,1064.3,1606.7
Head_Neck,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3938.9,1112.9,1064.3,1761.6
Head_Neck,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4368.9,1286.5,1064.3,2018
Kidney,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4435.6,1257.3,1891,1287.3
Kidney,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4925.7,1530.4,2008.4,1387
Kidney,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4511.1,1257.3,1935.9,1317.8
Kidney,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5012.1,1530.4,2059.8,1421.9
Kidney,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5282.6,1689.7,2059.8,1533
Kidney,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5730,1953.2,2059.8,1716.9
Leukemia,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6169.7,858,2413.4,2898.3
Leukemia,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5970,810.3,2350,2809.7
Leukemia,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,6298.8,858,2471.3,2969.5
Leukemia,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6092.9,810.3,2405.2,2877.4
Leukemia,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6446.6,894.6,2405.2,3146.8
Leukemia,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7031.9,1034.1,2405.2,3592.6
Lung,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13382.3,5811,2035,5536.2
Lung,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11767.1,4887.9,1908.4,4970.8
Lung,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,13628.2,5811,2107.4,5709.8
Lung,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,11977,4887.9,1970.7,5118.4
Lung,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,12981.9,5396.7,1970.7,5614.6
Lung,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,14644.6,6238.4,1970.7,6435.5
Lymphoma,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13680.6,3425.8,5547.7,4707
Lymphoma,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13535,3346.3,5516.8,4671.9
Lymphoma,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,13869.3,3425.8,5645.1,4798.4
Lymphoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,13721.2,3346.3,5613,4761.9
Lymphoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14502.9,3694.6,5613,5195.4
Lymphoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,15796.4,4270.8,5613,5912.6
Melanoma,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2765.8,532.2,1862.6,371
Melanoma,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3062.5,679.3,1973.6,409.5
Melanoma,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2773.8,532.2,1869.1,372.5
Melanoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3071.6,679.3,1981,411.3
Melanoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3182.4,750,1981,451.4
Melanoma,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3365.8,867,1981,517.8
Ovary,2015,Females,All ages,"Incidence, Survival at constant rate",0%,5592.7,1474.1,1811.7,2306.9
Ovary,2015,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4650,923,1670,2057
Ovary,2015,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5697,1474.1,1853.6,2369.3
Ovary,2015,Females,All ages,"Incidence, Survival follow recent trends",0%,4727.2,923,1701.3,2102.9
Ovary,2015,Females,All ages,"Incidence, Survival follow recent trends",2%,5032.9,1019,1701.3,2312.5
Ovary,2015,Females,All ages,"Incidence, Survival follow recent trends",5%,5538.7,1178,1701.3,2659.4
Pancreas,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2549.7,1579.9,127.1,842.6
Pancreas,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2528.5,1565.3,126.6,836.6
Pancreas,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2713.7,1579.9,163.7,970.1
Pancreas,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2691.2,1565.3,162.9,963
Pancreas,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2949.3,1728.3,162.9,1058.1
Pancreas,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3376.3,1997.8,162.9,1215.5
Prostate,2015,Males,All ages,"Incidence, Survival at constant rate",0%,13857.4,5227.2,7351.2,1279.1
Prostate,2015,Males,All ages,"Incidence follows recent trend, Survival constant",0%,13343.3,4887.9,7198.6,1256.8
Prostate,2015,Males,All ages,"Survival follows recent trend, Incidence constant",0%,13892.2,5227.2,7381,1284
Prostate,2015,Males,All ages,"Incidence, Survival follow recent trends",0%,13376.9,4887.9,7227.4,1261.5
Prostate,2015,Males,All ages,"Incidence, Survival follow recent trends",2%,13913.9,5396.7,7227.4,1289.8
Prostate,2015,Males,All ages,"Incidence, Survival follow recent trends",5%,14802.5,6238.4,7227.4,1336.6
Stomach,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2019.6,919.5,257.1,843
Stomach,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1747.4,751.5,240.5,755.4
Stomach,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2084.8,919.5,272.2,893
Stomach,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1803.6,751.5,253.7,798.4
Stomach,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1955.3,829.7,253.7,871.9
Stomach,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2206.3,959.1,253.7,993.5
Uterus,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2804.2,1169,834.3,800.9
Uterus,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2666.3,1076.6,812.1,777.5
Uterus,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2801.7,1169,832,800.6
Uterus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2663.9,1076.6,810,777.2
Uterus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2845,1188.7,810,846.3
Uterus,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3144.7,1374.1,810,960.5
Other,2015,Both sexes,All ages,"Incidence, Survival at constant rate",0%,22807.3,4245.7,12620.7,5940.8
Other,2015,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,24130.2,4489.2,12818.7,6822.3
Other,2015,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,24540.8,4245.7,14036.5,6258.6
Other,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,25848.6,4489.2,14197.6,7161.8
Other,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,26827.7,4956.4,14197.6,7673.6
Other,2015,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,28447.4,5729.4,14197.6,8520.4
AllSites,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,143940.3,45036.4,55328.2,43575.8
AllSites,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,137625.6,40772.9,54276.4,42576.3
AllSites,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,147951.3,45036.4,57815.2,45099.8
AllSites,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,141441.5,40772.9,56664.7,44003.8
AllSites,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,151217.6,45916.9,56664.7,48636
AllSites,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,167795,54639.6,56664.7,56490.7
Bladder,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4457.3,1109.5,2112.1,1235.6
Bladder,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4174.6,975.2,2022,1177.4
Bladder,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4495.3,1109.5,2136.1,1249.7
Bladder,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4209.8,975.2,2044.2,1190.4
Bladder,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4445.4,1098.2,2044.2,1303
Bladder,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4844.9,1306.9,2044.2,1493.8
Brain,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5110.2,1377.6,1240,2492.6
Brain,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5010.3,1319,1230.7,2460.6
Brain,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5249.1,1377.6,1278.4,2593.1
Brain,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5145.3,1319,1268.1,2558.2
Brain,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5619.1,1485.4,1268.1,2865.6
Brain,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6422.7,1767.5,1268.1,3387
Breast,2016,Females,All ages,"Incidence, Survival at constant rate",0%,18904.3,6541.4,8037.8,4325.1
Breast,2016,Females,All ages,"Incidence follows recent trend, Survival constant",0%,17768.1,5893,7733.5,4141.6
Breast,2016,Females,All ages,"Survival follows recent trend, Incidence constant",0%,18994.5,6541.4,8096.4,4356.7
Breast,2016,Females,All ages,"Incidence, Survival follow recent trends",0%,17851.9,5893,7788,4170.9
Breast,2016,Females,All ages,"Incidence, Survival follow recent trends",2%,19107.7,6636.5,7788,4683.2
Breast,2016,Females,All ages,"Incidence, Survival follow recent trends",5%,21237,7897.2,7788,5551.8
Cervix,2016,Females,All ages,"Incidence, Survival at constant rate",0%,1544.7,497.2,362.5,685
Cervix,2016,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1284.4,327.5,337,620
Cervix,2016,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1546.5,497.2,362.9,686.4
Cervix,2016,Females,All ages,"Incidence, Survival follow recent trends",0%,1285.8,327.5,337.3,621
Cervix,2016,Females,All ages,"Incidence, Survival follow recent trends",2%,1398.6,368.8,337.3,692.5
Cervix,2016,Females,All ages,"Incidence, Survival follow recent trends",5%,1589.9,438.8,337.3,813.8
Colorectal,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,15917.1,6649.7,4443.8,4823.5
Colorectal,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13873.8,5372.5,4125.5,4375.8
Colorectal,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,16143.7,6649.7,4552.6,4941.3
Colorectal,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14069.1,5372.5,4219.6,4477
Colorectal,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,15178.3,6050.3,4219.6,4908.5
Colorectal,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,17059.2,7199.7,4219.6,5640
Esophagus,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1590.8,656.8,189.6,744.3
Esophagus,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1552.2,635.9,186.7,729.6
Esophagus,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1745.6,656.8,225.3,863.5
Esophagus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1704,635.9,221.7,846.4
Esophagus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1879.6,716.2,221.7,941.8
Esophagus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2177.5,852.2,221.7,1103.6
Head_Neck,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4039.2,1201.2,1121.4,1716.7
Head_Neck,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3685.6,1009.4,1067.4,1608.8
Head_Neck,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4067.5,1201.2,1132.8,1733.5
Head_Neck,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3711.1,1009.4,1077.8,1623.9
Head_Neck,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4028.2,1136.7,1077.8,1813.7
Head_Neck,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4566,1352.7,1077.8,2135.6
Kidney,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4569,1284.1,1954.4,1330.4
Kidney,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5139.3,1589.7,2099.3,1450.3
Kidney,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4661.4,1284.1,2009.6,1367.7
Kidney,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5246.4,1589.7,2163.2,1493.5
Kidney,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5588.2,1790.3,2163.2,1634.8
Kidney,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6167.9,2130.4,2163.2,1874.4
Leukemia,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6322.4,870.8,2477.5,2974
Leukemia,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6106.9,820.5,2408.3,2878
Leukemia,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,6479.1,870.8,2548.3,3059.9
Leukemia,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6255.7,820.5,2475.6,2959.6
Leukemia,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6694.9,924.1,2475.6,3295.3
Leukemia,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7439.6,1099.6,2475.6,3864.4
Lung,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13648,5926.7,2076.2,5645
Lung,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11846.1,4914.1,1926.8,5005.2
Lung,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,13938.1,5926.7,2162.4,5848.9
Lung,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12090.3,4914.1,2000.1,5176.1
Lung,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,13318.4,5534,2000.1,5784.2
Lung,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,15400.9,6585.3,2000.1,6815.5
Lymphoma,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13996.1,3480.6,5680,4835.4
